"Glottocode;Language;Family;Ergon_ID;Feature;Value;Source;Comment;curated;curated_comment;final_value"
"bala1311;Balangao;Austronesian;GB409_1;Is there an overt marker for the absolutive?;1;Gault 1999: 205"
"bala1311;Balangao;Austronesian;GB409_2;Is there ergative alignment of flagging on first person pronouns?;1;Gault 1999: 204"
"bala1311;Balangao;Austronesian;GB409_3;Is there ergative alignment of flagging on second person pronouns?;1;Gault 1999: 213;Second-person pronouns follow an ergative alignment pattern.;0;La documentación no expresa ergatividad;1"
"bala1311;Balangao;Austronesian;GB409_4;Is there ergative alignment of flagging on third person pronouns?;1;Gault 1999: 208"
"bala1311;Balangao;Austronesian;GB409_5;Is there ergative alignment of flagging on full NPs?;1;Gault 1999: 205"
"bala1311;Balangao;Austronesian;GB409_6;Is there ergative alignment of flagging in the imperfective aspect?;1;Gault 1999: 204"
"bala1311;Balangao;Austronesian;GB409_7;Is there ergative alignment of flagging in the perfective aspect?;1;Gault 1999: 210;Ergative alignment occurs in the perfective aspect. ;0;;1"
"bala1311;Balangao;Austronesian;GB409_8;Is there ergative alignment of flagging in the past tense?;1;Gault 1999: 202"
"bala1311;Balangao;Austronesian;GB409_9;Is there ergative alignment of flagging in non-past tenses?;1;Gault 1999: 204"
"bala1311;Balangao;Austronesian;GB409_10;Is there ergative alignment of flagging in the indicative mood?;1;Gault 1999: 205"
"bala1311;Balangao;Austronesian;GB409_11;Is there ergative alignment of flagging in non-indicative moods?;1;Gault 1999: 211-213;Ergative alignment is manifested in non-indicative moods.;0;;1"
"bala1311;Balangao;Austronesian;GB409_12;Is there ergative alignment of flagging in the realis status?;1;Gault 1999: 202"
"bala1311;Balangao;Austronesian;GB409_13;Is there ergative alignment of flagging in the irrealis status?;1;Gault 1999: 204"
"bala1311;Balangao;Austronesian;GB409_14;Is there ergative alignment of flagging in the context of an agentive A?;1;Gault 1999: 205"
"bala1311;Balangao;Austronesian;GB409_15;Is there ergative alignment of flagging in the context of a non-agentive A?;1;Gault 1999: 211;Ergative alignment exists in the context of a non agentive A argument.;0;;1"
"bala1311;Balangao;Austronesian;GB409_16;Is there ergative alignment of flagging in the context of a topical A?;1;Gault 1999: 212;The most topical elements follow an ergative alignment.;0;;1"
"bala1311;Balangao;Austronesian;GB409_17;Is there ergative alignment of flagging in the context of a non-topical A?;1;Gault 1999: 205"
"bala1311;Balangao;Austronesian;GB409_18;Is there ergative alignment of flagging in the context of an animate A?;1;Gault 1999: 205"
"bala1311;Balangao;Austronesian;GB409_19;Is there ergative alignment of flagging in the context of an inanimate A?;?;Gault 1999: in passim;Based on the information provided in the document"
"bala1311;Balangao;Austronesian;GB409_20;Is there ergative alignment of flagging in main clauses?;1;Gault 1999: 204-205"
"bala1311;Balangao;Austronesian;GB409_21;Is there ergative alignment of flagging in non-main clauses?;1;Gault 1999: 202"
"bala1311;Balangao;Austronesian;GB409_22;Is ergative alignment of flagging conditioned by any other factor?;1;Gault 1999: 209-210;The determining factor is the Discursive Status specifically what is called Focal Content.;0;;1"
"bala1311;Balangao;Austronesian;GB409_23;Are the ergative and the genitive expressed by the same marker?;1;Gault 1999: 202"
"bala1311;Balangao;Austronesian;GB409_24;Are the ergative and the instrumental/comitative expressed by the same marker?;0;Gault 1999: 202"
